,JusticeName,Round,forest_initial_train_score,forest_initial_test_score,forest_initial_train_log_loss,forest_initial_test_log_loss,forest_initial_train_roc_auc,forest_initial_test_roc_auc,forest_best_score,forest_best_max_depth,forest_best_n_estimators,forest_tuned_train_score,forest_tuned_test_score,forest_tuned_train_log_loss,forest_tuned_test_log_loss,forest_tuned_train_roc_auc,forest_tuned_test_roc_auc,adaboost_initial_train_score,adaboost_initial_test_score,adaboost_initial_train_log_loss,adaboost_initial_test_log_loss,adaboost_initial_train_roc_auc,adaboost_initial_test_roc_auc,adaboost_best_score,adaboost_best_learning_rate,adaboost_best_n_estimators,adaboost_tuned_train_score,adaboost_tuned_test_score,adaboost_tuned_train_log_loss,adaboost_tuned_test_log_loss,adaboost_tuned_train_roc_auc,adaboost_tuned_test_roc_auc,svm_model_best_score,svm_model_best_c,svm_model_best_kernel,svm_model_tuned_train_score,svm_model_tuned_test_score,svm_model_tuned_train_log_loss,svm_model_tuned_test_log_loss,svm_model_tuned_train_roc_auc,svm_model_tuned_test_roc_auc
20,WEBurger,21,0.7629740518962076,0.6627906976744186,0.49257726373649513,0.5882020236497343,0.9157150834011845,0.7345632773847506,0.6923078476919833,15,500,0.7574850299401198,0.6627906976744186,0.4940781020408446,0.5867398011169901,0.9157584635851164,0.7398529615758079,0.7125748502994012,0.6715116279069767,0.6758884692993854,0.6828704694487653,0.7701317422816643,0.6961298377028713,0.6754322216957396,0.01,600,0.6676646706586826,0.6482558139534884,0.6607928469999736,0.6630936238257524,0.7081881765640224,0.7010588616081749,0.6839164555594814,50,rbf,0.7435129740518962,0.6744186046511628,0.5183552968199442,0.5922279617723488,0.8119018540023224,0.7076154806491884
21,HABlackmun,22,0.7864368677407269,0.6502242152466368,0.536193721924714,0.6284649350247452,0.9008956085961312,0.7201526303088803,0.601758620935367,10,50,0.7291120269763957,0.6535874439461884,0.5988375428956708,0.6444971898679005,0.8308786523255198,0.7066642535392534,0.6849007118771075,0.6547085201793722,0.6812445478034342,0.6884734890751927,0.755771437128378,0.6899684282496783,0.6161108025002718,0.1,100,0.6579243162233046,0.6412556053811659,0.6810791685763338,0.6848716105494497,0.718729135399086,0.6830558236808236,0.5938144000983681,100,rbf,0.7452229299363057,0.6434977578475336,0.5539330438683904,0.6353091269219018,0.8180108583183118,0.6951264880952381
22,LFPowell,23,0.7940011318619129,0.6493506493506493,0.5254868585451227,0.6248414770402679,0.8951340949766527,0.6865908591518347,0.6601217437863688,15,250,0.7917374080362196,0.6412337662337663,0.5264192934086471,0.6235135098070654,0.8952552043384064,0.6916886398593717,0.6910016977928692,0.6607142857142857,0.6775052350754582,0.6877228847461044,0.7323557116520663,0.657058888156449,0.6378452614027468,0.01,100,0.6372382569326542,0.6525974025974026,0.6430013987114422,0.6412187370087108,0.6420525345498095,0.6508349813227862,0.6464816718855915,25,rbf,0.6559139784946236,0.663961038961039,0.6055490800988665,0.6226959576898836,0.7538183090441779,0.6862997143484949
23,WHRehnquist,24,0.7453473945409429,0.7137546468401487,0.47481715674579583,0.5556306082457185,0.9228473538995801,0.7161871252498333,0.5893212596911691,10,250,0.7140198511166254,0.7109665427509294,0.5313013268071137,0.5657977985566868,0.8464943980590105,0.7134056462358429,0.7400744416873449,0.7137546468401487,0.6772688465135014,0.6808765441759251,0.7589202104077986,0.7157020319786809,0.5531810796756849,0.001,100,0.6982009925558312,0.7063197026022305,0.5962273837608921,0.5786184395683964,0.5981263095127757,0.6335776149233845,0.563756126048331,5,rbf,0.6982009925558312,0.7063197026022305,0.5644659089564295,0.5922685926613371,0.800596331971676,0.7025420552964691
24,JPStevens,25,0.725289256198347,0.6237424547283702,0.5517659055327927,0.642583050616228,0.9177856408395332,0.655155388597553,0.46524662554184226,25,1000,0.8823140495867768,0.641851106639839,0.43518334110177315,0.630806798076033,0.9924567760713651,0.6748331820626597,0.6743801652892562,0.6257545271629779,0.6836112247455984,0.6891334267103001,0.7047383653262804,0.6356561785666264,0.4858519442272059,0.1,600,0.6892561983471074,0.6398390342052314,0.6886402773409026,0.6906895266309158,0.7513219658020964,0.6420200517681861,0.48678727130250027,1,linear,0.7209917355371901,0.6327967806841046,0.6013217798279606,0.6527240527097564,0.7785530866641373,0.6299814273228453
25,SDOConnor,26,0.8080188679245283,0.6666666666666666,0.5314986285927601,0.6085903578073663,0.9099614025297619,0.6915188496286835,0.6494103422619049,15,250,0.815566037735849,0.6696165191740413,0.5291630589714661,0.6097895313367674,0.9066141183035714,0.685710231304101,0.6825471698113208,0.668141592920354,0.6785890178541373,0.6798064049484259,0.7398111979166667,0.6833262381155102,0.6273270089285714,0.1,100,0.6584905660377358,0.6637168141592921,0.6759873903710355,0.6756028035541036,0.7154180617559522,0.6967551203821958,0.6440755208333333,1,rbf,0.6037735849056604,0.6415929203539823,0.6194019249190167,0.6198143397781535,0.7153362165178572,0.6666240953597276
26,AScalia,27,0.7797017797017797,0.6671469740634006,0.4906219669266158,0.5929445410521462,0.9436693970287908,0.6994231903287631,0.6781449369217983,15,250,0.7681577681577682,0.670028818443804,0.49332901851903704,0.597252277679173,0.9498434561021879,0.6887899896800826,0.6974506974506974,0.6757925072046109,0.6689518383778535,0.6805887892327093,0.7608371116894845,0.6955900781365179,0.6490201142995697,0.01,600,0.6503126503126503,0.6685878962536023,0.6667348469722465,0.6667053202851522,0.7060452354408127,0.6904024767801858,0.6532361881858844,100,rbf,0.7575757575757576,0.6714697406340058,0.5389003426484673,0.602942635913709,0.8208489658829056,0.671467271118974
27,AMKennedy,28,0.8298391028766455,0.6335766423357664,0.5261887432132926,0.6265279127225336,0.9114735314486697,0.6825500551228706,0.6814806591137796,25,250,0.9434422233057045,0.6291970802919709,0.4065154694792474,0.6203957843830877,0.9880389616453067,0.6835636046801096,0.681618722574354,0.5956204379562043,0.6787624478919257,0.6895558424055133,0.7490672004731113,0.6098856644973151,0.6247912488031843,0.001,600,0.6196977084349098,0.6043795620437956,0.6538097793197443,0.6532835585747689,0.6241206978390955,0.6099434546036487,0.6668007747956677,25,rbf,0.6762554851292053,0.6248175182481752,0.5956005723410474,0.6421363298113822,0.7567975698578332,0.6467779793022512
28,DHSouter,29,0.8120539254559873,0.627039627039627,0.5122093756600017,0.6303027839880921,0.9435007614278708,0.7107666637393518,0.6320998782141417,25,500,0.929421094369548,0.6363636363636364,0.38487133366579424,0.6199912410773127,0.9969323490695092,0.7064635110213401,0.7160983346550357,0.6107226107226107,0.6618851388608418,0.6898786117527509,0.7744715174354078,0.6328598401686133,0.6072838401303046,0.01,600,0.6859635210150674,0.5920745920745921,0.6695865579454394,0.6768550213352236,0.7251542214077382,0.6699086677790463,0.6129129571141847,25,rbf,0.7145122918318795,0.6526806526806527,0.5910872044444735,0.6347376131160776,0.7638786361407222,0.7020066742776851
29,CThomas,30,0.7491039426523297,0.6853146853146853,0.4661587463114332,0.5853054995497631,0.9597563911695484,0.7117395665855905,0.6616046418894207,15,500,0.7514934289127837,0.6818181818181818,0.46746729769878725,0.5839704517115649,0.9603853127164987,0.7158895713951986,0.7287933094384708,0.666083916083916,0.6675130023504007,0.6810402111371352,0.7730682363500275,0.6798930892800704,0.6325901817065279,0.1,100,0.7007168458781362,0.6748251748251748,0.6648702404866897,0.670445661370871,0.7313751598918387,0.6941570130958762,0.621589883870045,100,rbf,0.7514934289127837,0.6958041958041958,0.5314857132844862,0.5940009050665251,0.8324964090872612,0.6884816753926701
30,RBGinsburg,31,0.7473544973544973,0.6326923076923077,0.5183541691538921,0.6320475700164274,0.9279637748186095,0.6602708630500469,0.6679811956029673,15,500,0.7546296296296297,0.6423076923076924,0.5170239521041651,0.6315793626356544,0.9366369472768172,0.6620346937836471,0.6937830687830688,0.6326923076923077,0.665042959572459,0.6850792177917644,0.7502412762005886,0.6416356079080967,0.6481512313158428,0.01,300,0.6507936507936508,0.625,0.6613758743935522,0.6680110546315177,0.672989106539178,0.6306078314084572,0.6216229272187958,50,rbf,0.7215608465608465,0.6307692307692307,0.5770504828870436,0.6417232291627267,0.7843455987389785,0.6378778815626006
31,SGBreyer,32,0.8335684062059239,0.6104417670682731,0.5146681606864798,0.6374745939332482,0.916661084961669,0.6934376626756898,0.7000529139410421,25,250,0.918194640338505,0.6325301204819277,0.4036301491570059,0.6286761449899307,0.9841408538181906,0.7006604633003644,0.6988716502115656,0.6104417670682731,0.6674666866171993,0.6907765229214788,0.7807364197117405,0.640690070275898,0.6405537925073547,0.1,100,0.6798307475317349,0.6104417670682731,0.671104990992137,0.6843021504078317,0.7446907836916788,0.643894781363873,0.6678642660716596,25,rbf,0.7023977433004231,0.6144578313253012,0.5907963318648379,0.6506159245020482,0.7648163822026828,0.6624154086413326
32,JGRoberts,33,0.889196675900277,0.667953667953668,0.46094409376275547,0.6267750833662563,0.9609162717219589,0.6968285853420989,0.7076751710457873,10,500,0.8476454293628809,0.6023166023166023,0.534070675192816,0.6324758221305948,0.922172195892575,0.6987764791818846,0.7686980609418282,0.5791505791505791,0.6564646737728023,0.6843708062928842,0.8536848341232227,0.6367177988799612,0.6842264175831834,0.01,600,0.6966759002770083,0.6447876447876448,0.6645597905470828,0.6724006269261857,0.7649091627172196,0.6890674458242025,0.6912917845756397,10,rbf,0.6551246537396122,0.6293436293436293,0.5878845535035125,0.6373800934050577,0.7845023696682464,0.6660275140004871
33,SAAlito,34,0.836940836940837,0.642570281124498,0.4368737815127854,0.6261184133243776,0.9818118986558994,0.6425441646960633,0.7058822230264024,10,500,0.7316017316017316,0.642570281124498,0.5160243183681055,0.6268638003666522,0.9435259453265674,0.6544373348170816,0.784992784992785,0.6224899598393574,0.6516934389712437,0.6814284192309257,0.8577281242611083,0.6361455000695507,0.6970234805398551,0.01,600,0.7128427128427128,0.6546184738955824,0.6538306411412309,0.6686818016377093,0.7796602462668921,0.6592015579357351,0.673768693240628,100,rbf,0.823953823953824,0.5983935742971888,0.4546029785151378,0.65140365255665,0.8983512486131572,0.6363889275281681
34,SSotomayor,35,0.8760162601626016,0.6306818181818182,0.4352238923876799,0.644067816848062,0.9681636095298335,0.6165289256198347,0.663403187088125,5,500,0.6443089430894309,0.6306818181818182,0.5959239766655233,0.6478809361170744,0.857333614449364,0.6056473829201102,0.7886178861788617,0.6477272727272727,0.6585426632183063,0.6841196453573616,0.8552076744676365,0.5979338842975207,0.6553526953859561,0.01,100,0.6605691056910569,0.6079545454545454,0.6219311002429796,0.6652933536177958,0.6873111251669126,0.5851239669421487,0.6512045813278508,5,rbf,0.6219512195121951,0.625,0.5706959616867473,0.6575235415788453,0.7727352589781432,0.584435261707989
35,EKagan,36,0.8872549019607843,0.6643356643356644,0.43245195619090043,0.6294848333132476,0.9903229829155755,0.6388429752066116,0.6767335689440378,10,1000,0.8161764705882353,0.6783216783216783,0.5121898540079962,0.6342724159117902,0.9485222596333708,0.6320247933884298,0.7965686274509803,0.6153846153846154,0.6469204484143665,0.681404222573787,0.8859583489213119,0.6058884297520661,0.6488093628094981,0.001,300,0.6397058823529411,0.6153846153846154,0.6373456032312115,0.6496162062965471,0.6401421623643845,0.5954545454545453,0.6717088654734186,1,rbf,0.5955882352941176,0.6153846153846154,0.5838444721370255,0.6499616553468985,0.7631874298540966,0.6132231404958678
36,NMGorsuch,37,1.0,0.7083333333333334,0.19734991254770098,0.5693484458708435,1.0,0.75,0.721455938697318,15,50,0.9827586206896551,0.7916666666666666,0.19720833211482172,0.6070638580837607,1.0,0.6640625,1.0,0.5833333333333334,0.32032567334987194,0.6857928651221634,1.0,0.67578125,0.7616858237547892,0.001,100,0.7413793103448276,0.5,0.5127569691867113,0.7516045893716959,0.7664092664092663,0.53125,0.6689655172413793,1,rbf,0.6379310344827587,0.6666666666666666,0.44289670518977386,0.6428583979480149,0.9716859716859717,0.6015625
